minute_epoch,platform,country,content_id,video_type,delta_sessions
1785064020,ANDROID_PHONE,india,2078158511,vod,-2
1785064020,ANDROID_PHONE,india,21010013,vod,-1
1785064020,ANDROID_PHONE,india,21164707,vod,-1
1785064020,ANDROID_PHONE,india,2078158498,vod,2
1785064020,SONY_ANDROID_TV,india,2078158754,vod,-1
1785064020,ANDROID_PHONE,india,2078158120,vod,-1
1785064020,ANDROID_PHONE,india,21311562,vod,-1
1785064020,ANDROID_PHONE,india,2078156851,vod,-1
1785064020,IPHONE,india,21329625,vod,1
1785064020,Mweb,india,2078157238,vod,1
1785064020,ANDROID_PHONE,india,21030045,vod,1
1785064020,ANDROID_PHONE,india,2048982810,vod,1
1785064020,ANDROID_PHONE,india,2078158762,vod,-1
1785064020,ANDROID_PHONE,india,2078158845,vod,-1
1785064020,ANDROID_PHONE,india,2078158760,vod,-2
1785064020,IPHONE,india,2078157818,live,-5
1785064020,ANDROID_PHONE,india,21218548,vod,-1
1785064020,ANDROID_PHONE,india,2078158755,vod,-3
1785064020,ANDROID_PHONE,india,21325589,vod,1
1785064020,IPHONE,india,2078164152,vod,1
1785064020,IPHONE,india,2049029114,vod,-1
1785064020,ANDROID_PHONE,india,2078157821,live,-1
1785064020,ANDROID_PHONE,india,21187594,vod,-1
1785064020,ANDROID_PHONE,india,2078157447,vod,-2
1785064020,ANDROID_PHONE,india,2078157624,vod,1
1785064020,ANDROID_PHONE,india,2078157818,live,2
1785064020,SONY_ANDROID_TV,india,21019519,vod,1
1785064020,IPHONE,india,21331357,vod,1
1785064020,ANDROID_PHONE,india,2078157864,vod,1
1785064020,IPHONE,india,2049026650,,-1
1785064020,ANDROID_PHONE,india,2049046051,vod,-1
1785064020,ANDROID_PHONE,india,2078158759,vod,1
1785064020,ANDROID_PHONE,india,2048987496,vod,1
1785064020,ANDROID_PHONE,india,21320403,vod,-1
1785064020,ANDROID_PHONE,india,21330237,vod,-1
1785064020,ANDROID_PHONE,india,2078158752,vod,2
1785064020,SONY_ANDROID_TV,india,2078158762,vod,1
1785064020,ANDROID_PHONE,india,2078158606,vod,-1
1785064020,ANDROID_PHONE,india,2078170916,vod,-1
1785064020,ANDROID_PHONE,india,21330665,,-1
1785064020,SAMSUNG_HTML_TV,india,21210860,vod,1
1785064020,SONY_ANDROID_TV,india,21330371,vod,-1
1785064020,ANDROID_PHONE,india,20987439,vod,1
1785064020,ANDROID_PHONE,india,2078158385,vod,1
1785064020,JIO_ANDROID_TV,india,21330826,,-1
1785064020,ANDROID_PHONE,india,2078158543,vod,-6
1785064020,ANDROID_PHONE,india,2078158237,vod,-1
1785064020,ANDROID_PHONE,india,2049046156,vod,1
1785064020,Mweb,india,2078158237,vod,-1
1785064020,SONY_ANDROID_TV,india,2049046159,vod,1
1785064020,ANDROID_PHONE,india,21141251,vod,-1
1785064020,SAMSUNG_HTML_TV,india,21330610,vod,-1
1785064020,ANDROID_PHONE,india,2078158479,vod,4
1785064020,JIO_ANDROID_TV,india,2048990532,vod,-1
1785064020,ANDROID_PHONE,india,21274324,vod,1
1785064020,ANDROID_PHONE,india,20983302,vod,-1
1785064020,SONY_ANDROID_TV,india,2078158118,vod,-1
1785064020,ANDROID_PHONE,india,2078158754,vod,-3
1785064020,XIAOMI_ANDROID_TV,india,21053507,vod,1
1785064020,SONY_ANDROID_TV,india,2078158478,vod,-1
1785064020,ANDROID_PHONE,india,2078158190,vod,-1
1785064020,SONY_ANDROID_TV,india,2078158526,vod,-1
1785064020,IPHONE,india,21057078,vod,1
1785064020,ANDROID_PHONE,india,2078158496,vod,2
1785064020,JIO_ANDROID_TV,india,21329352,vod,1
1785064020,ANDROID_PHONE,india,21330634,vod,1
1785064020,ANDROID_PHONE,india,2049035968,,-2
1785064020,Mweb,india,21186196,vod,1
1785064020,SONY_ANDROID_TV,india,21315431,vod,-1
1785064020,ANDROID_PHONE,india,20972402,vod,-1
1785064020,IPHONE,india,2078158738,vod,-1
1785064020,ANDROID_PHONE,india,2078168734,vod,1
1785064020,JIO_ANDROID_TV,india,2078158755,vod,1
1785064020,ANDROID_PHONE,india,2078164153,vod,-1
1785064020,ANDROID_PHONE,india,2078156844,vod,1
1785064020,Mweb,india,2078158738,vod,-1
1785064020,ANDROID_PHONE,india,2078170595,vod,-1
1785064020,SAMSUNG_HTML_TV,india,21330602,vod,-1
1785064020,XIAOMI_ANDROID_TV,india,2049047837,vod,-1
1785064020,SONY_ANDROID_TV,india,2078158542,vod,-2
1785064020,ANDROID_PHONE,india,2078158790,vod,1
1785064020,ANDROID_PHONE,india,21330407,vod,-1
1785064020,ANDROID_PHONE,india,21305986,vod,-1
1785064020,ANDROID_PHONE,india,2078158499,vod,2
1785064020,IPHONE,india,20995834,vod,1
1785064020,JIO_ANDROID_TV,india,21145648,vod,-1
1785064020,ANDROID_PHONE,india,2078165904,vod,-1
1785064020,ANDROID_PHONE,india,21026485,vod,1
1785064020,ANDROID_PHONE,india,21359199,vod,-1
1785064020,ANDROID_PHONE,india,21329292,vod,1
1785064020,ANDROID_PHONE,india,21330424,vod,1
1785064020,ANDROID_PHONE,india,2078175394,vod,1
1785064020,ANDROID_PHONE,india,21326423,vod,1
1785064020,SONY_ANDROID_TV,india,21165473,vod,1
1785064020,ANDROID_PHONE,india,21312341,vod,1
1785064020,ANDROID_PHONE,india,21140313,vod,-1
1785064020,IPHONE,india,21309614,vod,-1
1785064020,ANDROID_PHONE,india,2078157806,vod,1
1785064020,ANDROID_PHONE,india,21020682,vod,1
1785064020,ANDROID_PHONE,india,2078157682,live,7
1785064020,ANDROID_PHONE,india,2078158577,vod,2
1785064020,ANDROID_PHONE,india,21054456,vod,1
1785064020,IPHONE,india,21326808,vod,1
1785064020,IPHONE,india,2049027624,vod,1
1785064020,ANDROID_PHONE,india,2078158824,live,-2
1785064020,IPHONE,india,21008857,vod,-1
1785064020,ANDROID_PHONE,india,21266940,vod,-1
1785064020,JIO_ANDROID_TV,india,20984316,,1
1785064020,JIO_ANDROID_TV,india,21182457,vod,-1
1785064020,JIO_ANDROID_TV,india,21051762,vod,1
1785064020,ANDROID_PHONE,india,21325586,vod,-1
